Symbol,ROE,SE,Net Income,momentum,annualized daily std,factor
WFC,0.0233030841375778,187443000000.0,4368000000.0,0.21355915185974023,46.70887391844685,0.004572132315427086
QCOM,0.3351095871368333,21581000000.0,7232000000.0,0.2677774337943902,177.63917576618434,0.0015074233070460164
TXN,0.3852754926910102,16897000000.0,6510000000.0,-0.011406702115645217,148.77452718130883,-7.667106951544249e-05
GE,0.3304174393785646,28579000000.0,9443000000.0,0.20885222909843137,223.13556547975776,0.0009359880781415721
IBM,0.3317560695175341,22613000000.0,7502000000.0,0.26346685752399934,111.99291502310983,0.0023525314745993773
AXP,0.2996171598268274,27949000000.0,8374000000.0,0.11980771332206111,172.30273430969646,0.0006953326295258847
BX,-0.0031424800834999,18075214000.0,-56801000.0,0.49531039237392954,126.2035936497694,0.0039246932519883485
ISRG,0.1356467347898457,13397300000.0,1817300000.0,0.08065857283151477,531.8897970680248,0.00015164527177647503
NOW,0.2269271106449921,7628000000.0,1731000000.0,0.2887920020317588,668.5724893712909,0.000431953163827204
MS,0.5415274749454901,99982000000.0,54143000000.0,0.1293736197152011,101.81136827144616,0.0012707187999896961
NEE,0.1064312821902954,59024000000.0,6282000000.0,-0.16508465054847038,75.56942717961692,-0.002184542833123368
AMAT,0.4193528656186923,16349000000.0,6856000000.0,0.20902113413441792,207.69103950760996,0.001006404198418773
GS,0.3956545913348445,116905000000.0,46254000000.0,0.21174354816475735,397.3924972634136,0.000532832274446294
SPGI,0.0759317585301837,38100000000.0,2893000000.0,0.17678432692497745,332.201327164706,0.0005321602066849283
UBER,0.170004731114966,12682000000.0,2156000000.0,0.5497105563610726,71.72349828224678,0.0076643020701227926
SYK,0.1702253536277093,18593000000.0,3165000000.0,0.08467319715979185,508.5871541955786,0.0001664870936304273
LMT,1.0124359912216532,6835000000.0,6920000000.0,0.011063542585674262,491.18609980917796,2.2524136147118908e-05
COP,0.222346232675176,49279000000.0,10957000000.0,0.1573867200084,180.4751946631096,0.0008720684319093907
MDT,0.0732410722926546,51665000000.0,3784000000.0,0.008109178492532182,74.22333303925606,0.00010925376374897242
PANW,0.2514870738961336,1748400000.0,439700000.0,0.35739273350410367,268.0295300667332,0.0013334080517737024
CB,0.1415427611436466,63691000000.0,9015000000.0,0.1896364783489293,198.4399860851053,0.0009556364223266957
ADP,0.972329087230344,3509100000.0,3412000000.0,0.09423231706777757,240.57111585772023,0.00039170253973261246
ANET,0.2891403159331431,7219059000.0,2087321000.0,0.44929227388822096,318.5644048605187,0.0014103655870935756
KKR,0.0518232165751907,58378912000.0,3025383000.0,0.5529306377608892,58.30916589623994,0.009482739621842968
LRCX,0.5494319729233443,8210172000.0,4510931000.0,0.28724039487342534,910.8793804282817,0.0003153440521821553
DE,0.4639952481038106,21886000000.0,10155000000.0,0.08874277069960237,624.1493752137127,0.00014218194269475362
CI,0.1158982546223382,46351000000.0,5372000000.0,0.18127240787281068,388.1515491618108,0.0004670145160163787
FI,0.0054452378623365,30669000000.0,167000000.0,0.16628616820262654,134.65392367713682,0.0012349151340092783
MDLZ,1.269689064372841,28366000000.0,36016000000.0,-0.007790282006028571,84.3064064003546,-9.240438940113339e-05
SO,0.1092689850958126,35225000000.0,3849000000.0,0.030373985576875966,65.31471741614826,0.00046504044997010697
ICE,0.0945474288373536,25786000000.0,2438000000.0,0.20258090339457194,90.18730411374264,0.0022462241818325167
CL,2.565308254963427,957000000.0,2455000000.0,0.0617142162658725,47.496739298980124,0.001299335852876066
WM,0.330046403712297,6896000000.0,2276000000.0,0.09512864576211212,117.4194043962995,0.0008101612016447098
ZTS,0.4675324675324675,5005000000.0,2340000000.0,0.153581732950793,186.0722303082356,0.000825387714740556
APH,0.2308787752922328,8426500000.0,1945500000.0,0.2872277860219786,38.98746797687422,0.007367182351835478
CMG,0.4012586347036631,3062207000.0,1228737000.0,0.10897432340142789,65.2594312203525,0.0016698632115482183
CME,0.011104088204384,26737900000.0,296900000.0,0.18451886984001376,159.30843627636602,0.0011582492060866949
AON,-3.5417789757412397,-742000000.0,2628000000.0,-0.06895288755098737,328.47674039046143,-0.0002099171084960927
PYPL,1.4142321029879816,21051000000.0,29771000000.0,-0.03986865655974659,148.95680486094113,-0.0002676524687607662
CVS,0.1091915026880317,76636000000.0,8368000000.0,0.14717564843702086,153.38578617540793,0.0009595129516675989
MMM,-1.4336483155299915,4868000000.0,-6979000000.0,0.09919961383395294,152.2303434206739,0.0006516415295722243
USB,0.0978644815405856,55771000000.0,5458000000.0,0.42071479726381,81.61432369438842,0.005154913723713638
PNC,0.1104202107897772,51141000000.0,5647000000.0,0.28503941836105334,233.24947832070075,0.0012220366811245137
WDAY,-0.065711727842435,5585000000.0,-367000000.0,0.2930210658482143,300.06060461853383,0.0009765396101255316
ECL,0.1725675776120512,8072200000.0,1393000000.0,0.15599333677021732,152.12438621948704,0.001025432809603242
PLTR,0.0610438462607748,3560965000.0,217375000.0,0.18250685502653344,22.400819800530783,0.008147329278645818
CSX,0.3061897304871013,12133000000.0,3715000000.0,0.09380634945456434,26.457550490688156,0.0035455417343937365
CRWD,-0.1225499753266363,1487434000.0,-182285000.0,0.6872851901015922,470.2368060510941,0.001461572512524497
APO,0.2578332343038225,25245000000.0,6509000000.0,0.35089669246330163,109.95566807326792,0.0031912560635754127
CARR,0.0234314269850083,9005000000.0,211000000.0,0.3373075418061099,54.8553427929492,0.006149037169984935
SLB,0.2001498197481155,21359000000.0,4275000000.0,0.1288257641646015,116.6919169139599,0.0011039819001309938
