Symbol,Description,"Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY"
GLPI,"Gaming and Leisure Properties, Inc.",1485179000,USD,7.465219112176550,1188601000,USD,1112406000,USD,777581000,USD,1401667000,USD,2.8868,USD,-0.05885407651030070
UAL,"United Airlines Holdings, Inc.",55635000000,USD,9.336923197861800,7083000000,USD,4890000000,USD,2936000000,USD,7664000000,USD,8.8162,USD,9.3739920105203
XPO,"XPO, Inc.",8017000000,USD,-7.818788087846380,898000000,USD,680000000,USD,359000000,USD,1143000000,USD,2.9975,USD,320.8198792643550
TRMB,Trimble Inc.,3713800000,USD,1.7367959675652000,2193800000,USD,454000000,USD,1511500000,USD,722200000,USD,6.123,USD,341.61557879552800
CAVA,"CAVA Group, Inc.",845224000,USD,31.007951392656200,157157000,USD,45890000,USD,42616000,USD,100810000,USD,0.3637,USD,
EVRG,"Evergy, Inc.",5645600000,USD,-3.323800880182200,1725200000,USD,1294700000,USD,739300000,USD,2450800000,USD,3.2111,USD,-2.2734189542881500
EQH,"Equitable Holdings, Inc.",13619000000,USD,28.553898433075300,,,1817000000,USD,908000000,USD,,,2.399,USD,144.19788273615600
ARCC,Ares Capital Corporation,2764000000,USD,18.677544010304900,1987000000,USD,2390000000,USD,1684000000,USD,2390000000,USD,2.8448,USD,75.16162797857280
WPC,W. P. Carey Inc. REIT,1640460000,USD,-1.5695848901278600,907496000,USD,759572000,USD,571452000,USD,1290076000,USD,2.6106,USD,-26.898521505376400
KMX,CarMax Inc,25962374000,USD,-7.476541157859420,2428636000,USD,-230783000,USD,403346000,USD,52263000,USD,2.5457,USD,-12.162721689324400
ELS,"Equity Lifestyle Properties, Inc.",1533012000,USD,4.023288005862720,562607000,USD,494946000,USD,357118000,USD,699170000,USD,1.8463,USD,23.30862218660260
ALLY,Ally Financial Inc.,16368000000,USD,14.573708525829500,,,686000000,USD,823000000,USD,,,2.3166,USD,
REG,Regency Centers Corporation,1416043000,USD,13.651306549037900,606694000,USD,494951000,USD,392936000,USD,879918000,USD,2.0822,USD,-2.6872926111137100
YUMC,"Yum China Holdings, Inc.",11044000000.0035,USD,6.767208043290280,1814000000.0006200,USD,1207000000.00044,USD,840000000.000303,USD,1766000000,USD,2.069,USD,17.47672041789690
SJM,The J.M. Smucker Company,8178700000,USD,-4.109412371617510,2903400000,USD,1457200000,USD,743800000,USD,1888000000,USD,7.1368,USD,
FLEX,Flex Ltd.,27057000000.0219,USD,-10.805999670355000,2288000000.00173,USD,1278000000.00084,USD,959000000.001249,USD,1808000000,USD,2.2284,USD,29.287537711766100
SN,"SharkNinja, Inc.",4763002000,USD,,2214585000,USD,502605000,USD,245706000,USD,611674000,USD,1.7482,USD,
CNH,CNH Industrial N.V.,23090000000,USD,-6.669361358124500,7448000000,USD,4630000000,USD,2017000000,USD,5223000000,USD,1.5399,USD,-10.600870827285900
PAA,"Plains All American Pipeline, L.P.",50071000000,USD,-1.314596554850410,2203000000,USD,1835000000,USD,1023000000,USD,2879000000,USD,1.1002,USD,-32.098994013454300
AES,The AES Corporation,12429000000,USD,-4.104621556978630,2585000000,USD,2316000000,USD,753000000,USD,3514000000,USD,1.0483,USD,
IPG,"Interpublic Group of Companies, Inc. (The)",10907700000,USD,0.8935260981768740,1593100000,USD,1487100000,USD,1031800000,USD,1748600000,USD,2.6968,USD,12.039883672621500
HST,"Host Hotels & Resorts, Inc.",5474000000,USD,4.745503252965940,870000000,USD,753000000,USD,750000000,USD,1481000000,USD,1.0609,USD,0.12268780671950300
JBL,Jabil Inc.,30377000000,USD,-13.882746498837700,2688000000,USD,1465000000,USD,1405000000,USD,2194000000,USD,10.9894,USD,54.68224364839190
CHRW,"C.H. Robinson Worldwide, Inc.",17458576000,USD,-13.209303985742900,1172044000,USD,574481000,USD,332077000,USD,672043000,USD,2.7728,USD,-36.172367754707400
DOCU,"DocuSign, Inc.",2810134000,USD,8.55760096824127,2214035000,USD,91430000,USD,107201000,USD,188131000,USD,0.5137,USD,
ACI,"Albertsons Companies, Inc.",79452900000,USD,1.356429934583160,20494000000,USD,2191700000,USD,1119500000,USD,4661300000,USD,1.9243,USD,-5.244238723655720
FND,"Floor & Decor Holdings, Inc.",4386361000,USD,-0.3969940806259260,1650514000,USD,308785000,USD,209702000,USD,528928000,USD,1.9393,USD,-27.63805970149250
PFGC,Performance Food Group Company,58281200000,USD,1.7928659131914100,6020400000,USD,836400000,USD,435900000,USD,1393100000,USD,2.7919,USD,9.82652137996145
CUBE,CubeSmart,1060616000,USD,2.0089869658218200,548147000,USD,491058000,USD,403803000,USD,693361000,USD,1.7836,USD,3.3431832667014400
